Name,Relevant,Subject category,Datatype,Target,Abstract Note,Author,DOI,Item Type,Key,Publication Year,from,match
Political Landscape Discovery with Machine Learning: Using Structural Topic Modeling to Analyze Election Discourse,NO,,,,"… interpretation of topics identified by unsupervised machine learning algorithms. Having already … Thus, the data cleaning and modeling steps of the analysis are processes that must be …","O'Neill, KS",,journalArticle,UHCXVX9M,2016,,1
Sentiment analysis in a cross-media analysis framework,NO,,,,"… and machine learning approaches. After data pre-processing steps such as data cleaning, … k-Nearest Neighbor (k- NN) machine learning techniques. Sentiwordnet has been used for …","Woldemariam, Y",,journalArticle,YVYZ8QSQ,2016,,1
Automatic machine learning by pipeline synthesis using model-based reinforcement learning and a grammar,NO,,,,"… the CFG for generating machine learning pipelines for that task. For … of data cleaning, data transformation and an estimator (classifier or regressor) primitives in that order. Data cleaning …","Drori, I; Krishnamurthy, Y; Lourenco, R; Rampin, R; ...",,journalArticle,B3IWWBEU,2019,,1
A Holistic Machine Learning Approach to Identify Performance Anomalies in Enterprise WiFi Deployments,NO,,,,"In large-scale enterprise WiFi deployments, performance anomalies need to be detected autonomously without human intervention. The state of the art in detection and diagnosis of faults is a manual and slow process. Experts with domain-knowledge use alarms, traces, and Key Performance Indicator (KPI) data to understand the anomalies. In large-scale deployments, this is becoming an increasingly inefficient approach. The objective of this study is to determine anomalies in a WiFi network by exploiting big data, machine learning (ML) and deep learning techniques. Our work comprises of setting up WiFi access points and retrieving the KPI of client devices which are connected to access points. The metrics for client devices, access points and channel nodes are periodically logged on the cloud, and collected through an API. We develop a multivariate time series data which undergoes data preprocessing, such as data cleaning and data transformation prior to using ML algorithms. To detect anomalous instances, an unsupervised algorithm, Density Based Spatial Clustering of Applications with Noise (DBSCAN) is used. Clusters obtained through DBSCAN are analyzed under dimensionality reduction technique t-Distributed Stochastic Neighbor Embedding. While DBSCAN helps to obtain the outliers, the output of the dimensionality reduction technique enable us to coherently comprehend the dynamics of clusters. Our methodology involves a thorough analysis of the outliers from the dataset through legacy supervised and self-supervised ML models, as well as ensemble learning techniques.  2022 SPIE. All rights reserved.","Kuili, Samhita; Kantarci, Burak; Erol-Kantarci, Melike; Chenier, Marcel; Herscovici, Bernard",10.1117/12.2621087,conferencePaper,Y4656BJY,2022,,1
Application of machine learning methods in motor insurance,NO,,,,"… of the capabilities of machine learning techniques in the … application of selected machine learning methods for sample … data preparation including data cleaning, variable selection, …","Górska, S",,book,X5TPVD2Q,2022,,1
Cleaning sensor data in smart heating control system,NO,,,,"Sometimes, smart heating control applications are partially equipped with missing values and outliers in the sensor data due to software/hardware failures/human errors. To provide an effective analysis and decision-making, erroneous sensor data should be cleaned by imputation of missing values and smoothing outliers. In this paper, we present a case of the Smart Heating Control System (SHCS) installed in the South Ural State University, and describe the structure and development principles of Data Cleaning Module (DCM) of the system. We implement DCM through data mining and neural network technologies as a set of the following subsystems. The preprocessor extracts raw data from the system's data warehouse and prepares a training data for further processing. Predictor provides Recurrent Neural Network (RNN) to forecast the next value of a sensor based on its historical data. Reconstructor determines if the current value of a sensor is an outlier, and if so, imputes it by the synthetic value from Predictor. Finally, Anomaly Detector subsystem discovers anomalous sequences in the sensor data. In the experiments on the real sensor data, DCM showed relatively high and stable accuracy as well as adequate detection of anomalies.","Zymbler, M.; Kraeva, Y.; Latypova, E.; Kumar, S.; Shnayder, D.; Basalaev, A.",10.1109/GloSIC50886.2020.9267813,conferencePaper,2H377BRH,2020,,1
Performance-oriented multistage design for multi-principal element alloys with low cost yet high efficiency,NO,,,,"… of the machine learning model, data cleaning is a critical step before using machine learning … After data cleaning, the final data set for phase prediction is composed of 266 entries with …","Li, J; Xie, B; Li, L; Liu, B; Liu, Y; Shaysultanov, D; ...",,journalArticle,HHR8WBYQ,2022,,1
Toward Data Cleaning with a Target Accuracy: A Case Study for Value Normalization,traditional DC,,,,"Many applications need to clean data with a target accuracy. As far as we know, this problem has not been studied in depth. In this paper we take the first step toward solving it. We focus on value normalization (VN), the problem of replacing all string that refer to the same entity with a unique string. VN is ubiquitous, and we often want to do VN with 100% accuracy. This is typically done today in industry by automatically clustering the strings then asking a user to verify and clean the clusters, until reaching 100% accuracy. This solution has significant limitations. It does not tell the users how to verify and clean the clusters. This part also often takes a lot of time, e.g., days. Further, there is no effective way for multiple users to collaboratively verify and clean. In this paper we address these challenges. Overall, our work advances the state of the art in data cleaning by introducing a novel cleaning problem and describing a promising solution template. Copyright  2021, The Authors. All rights reserved.","Ardalan, Adel; Paulsen, Derek; Saini, Amanpreet Singh; Cai, Walter; Doan, AnHai",,journalArticle,YMT8EQ3R,2021,,1
BlackEye: automatic IP blacklisting using machine learning from security logs,NO,,,,"Blacklisting of malicious IP address is a primary technique commonly used for safeguarding mission-critical IT systems. The decision to blacklist an IP address requires careful examination of various aspects of packet traffic data as well as the behavioral history. Most of the current security monitoring for IP blacklisting heavily relies on the domain expertise from experienced specialists. Although there are efforts to apply machine-learning (ML) techniques to this problem, we are yet to see the mature solution. To mitigate these challenges and to gain better understanding of the problem, we have designed the BlackEye framework in which we can apply various ML techniques and produce models for accurate blacklisting. From our analysis results, we learn that multi-staged method that combines the data cleansing and the classification via logistic regression or random forest produces the best results. Our evaluation on the real-world data shows that it can reduce the the incorrect blacklisting by nearly 90% when compared to the performance of experts. More over, our proposed model performed well in terms of the time-to-blacklist by curtailing the period of malicious IP address in activity by 27days on average.  2019, Springer Science+Business Media, LLC, part of Springer Nature.","Jeon, Dooyong; Tak, Byungchul",10.1007/s11276-019-02201-5,journalArticle,EZD6NWIQ,2022,,1
Predicting taxi pickups in cities: Which data sources should we use?,NO,,,,… In this paper we use machine learning to evaluate the predictability of taxi pickups in New York City’s … The main goals of the data cleaning and preparation process were as follows: …,"Smith, AW; Kun, AL; Krumm, J",10.1145/3123024.3124416,journalArticle,BQ4N2XET,2017,,1
Sentiment polarity detection in bengali tweets using multinomial Naïve Bayes and support vector machines,NO,,,,… The proposed system uses supervised machine learning algorithms for sentiment polarity detection of Bengali tweets. The proposed approach has the steps- (1) data cleaning and …,"Sarkar, K; Bhowmick, M",,journalArticle,KVP9YLAZ,2017,,1
Exploratory data analysis using Python,NO,,,,… The actual process of data cleaning is to remove the error and … machine learning model to describe the variable and working of the variable. Model can be supervised or unsupervised …,"Sahoo, K; Samal, AK; Pramanik, J; ...",,journalArticle,GAAYLT6A,2019,,1
An overview: Maritime spatial-temporal trajectory mining,NO,,,,"… out and prospects of deep learning are discussed in this paper. … data cleaning can be achieved by building more concise, convenient and efficient data cleaning tools and data cleaning …","Jin, J; Zhou, W; Jiang, B",10.1088/1742-6596/1757/1/012125,journalArticle,MKJVST3W,2021,,1
Using electronic health records to accurately predict COVID-19 health outcomes through a novel machine learning pipeline,NO,,,,"Current COVID-19 predictive models primarily focus on predicting the risk of mortality, and rely on COVID-19 specific medical data such as chest imaging after COVID-19 diagnosis. In this project, we developed an innovative supervised machine learning pipeline using longitudinal Electronic Health Records (EHR) to accurately predict COVID-19 related health outcomes including mortality, ventilation, days in hospital or ICU. In particular, we developed unique and effective data processing algorithms, including data cleaning, initial feature screening, vector representation, and feature normalization. Then we trained models using state-of-the-art machine learning strategies combined with different parameter settings and feature selection. Based on routinely collected EHR, our machine learning pipeline not only consistently outperformed those developed by other research groups using the same data set, but also achieved similar mortality prediction accuracy as those trained on medical data available only after COVID-19 diagnosis. In addition, we identified top COVID-19 risk factors, which are consistent with epidemiologic findings.  2021 Owner/Author.","Feng, Alice",10.1145/3459930.3469490,conferencePaper,CPZUVM9N,2021,,1
Filter hashtag context through an original data cleaning method,NO,,,,"… paper, we introduced a data cleaning methodology (independent of … Rappoport, A.. Semi-supervised recognition of … recommendation using attention-based convolutional neural …","Henry, D; Stattner, E; Collard, M",,journalArticle,5J5WUMC7,2018,,1
An Application for Identification of Malignant Weeds in Cereal Fields Based on Neural Network,NO,,,,"In the process of agricultural production, the existence of malignant weeds seriously affects the yield and quality of crops, and especially the malignant weeds represented by Johnson grass, Aegilops tauschii and Nut grass, which are not only extremely similar to crops in morphology, but also have the characteristics of fierce growth and high reproduction rate. In this paper, we designed an image recognition and processing method, especially focusing on the automatic identification and determination of these weeds, in order to solve the defects of low efficiency and error when using manual identification of weeds, and improve the efficiency of weed control in the crop production cycle. Based on deep learning techniques, this study trained the model by means of transfer learning. At the same time, the steps of data processing, such as data collection, data cleaning and purification, as well as the details of model training are listed. On this basis, an application was developed to identify weed species by taking and selecting pictures. Through using cloud computing to improve performance, and to speed up the system, the application can almost achieve 95% identification accuracy.  2021 IEEE.","Zhang, Chao; Fu, Kai; Duan, Zengguanqi; Zhai, Yansong; Tian, Ziping; Huang, Jing",10.1109/ICAIBD51990.2021.9459033,conferencePaper,K5SDHTAI,2021,,1
Sentiment analysis on Indian government schemes using Twitter data,NO,,,,"… A supervised approach is used along with existing hashtags in the Twitter data for building training data [2]. Machine learning, … In this process data cleaning, bigrams, polarity, and …","Rekha, V; Raksha, R; Patil, P; Swaras, N; ...",,journalArticle,7IF9WWER,2019,,1
Stock Price Prediction using Artificial Neural Model: An Application of Big Data,NO,,,,"In recent time, stock price prediction is an area of profound interest in the realm of fiscal market. To predict the stock prices, authors have proposed a technique by first calculating the sentiment scores through Naive Bayes classifier and after that neural network is applied on both sentiment scores and historical stock dataset. They have also addressed the issue of data cleaning using a Hive ecosystem. This ecosystem is being used for pre-processing part and a neural network model with inputs from sentiment analysis and historic data is used to predict the prices. It has been observed from the experiments that the accuracy level reaches above 90% in maximum cases, as well as it also provides the solid base that model will be more accurate if it trained with recent data. The intended combination of sentiment analysis and Neural networks is used to establish a statistical relationship between historic numerical data records of a particular stock and other sentimental factors which can affects the stock prices.","Shastri, M; Roy, S; Mittal, M",10.4108/eai.19-12-2018.156085,journalArticle,PJDGSPTH,2019,,1
Fairness & friends in the data science era,NO,,,,"… the already existing reviews on fairness in machine learning and AI, not further discussed in … Rather, data cleaning techniques, facing the possible sources of errors, are applied to the …","Catania, B; Guerrini, G; Accinelli, C",10.1007/s00146-022-01472-5,journalArticle,TUJMVFNU,2022,,1
A holistic machine learning approach to identify performance anomalies in enterprise WiFi deployments,NO,,,,"… big data, machine learning (ML) and deep learning techniques. … as data cleaning and data transformation prior to using ML algorithms. To detect anomalous instances, an unsupervised …","Kuili, S; Kantarci, B; Erol-Kantarci, M; ...",10.1117/12.2621087.short,journalArticle,22FTEB9J,2022,,1
Supervised Learning for Distribution Secondary Systems Modeling: Improving Solar Interconnection Processes,NO,,,,"… a supervised learning method to approximate local secondary models to improve the interconnection process. The proposed supervised … of errors, and the data cleaning process is too …","Wang, W; Keen, J; Giraldez, J; Baranko, K; ...",,journalArticle,9JLHY7AV,2022,,1
Performance evaluation of outlier detection techniques in production timeseries: A systematic review and meta-analysis,YES,ML4DC,tabular,outliers,"Time-series data have been extensively collected and analyzed in many disciplines, such as stock market, medical diagnosis, meteorology, and oil and gas industry. Numerous data in these disciplines are sequence of observations measured as functions of time, which can be further used for different applications via analytical or data analytics techniques (e.g., to forecast future price, climate change, etc.). However, presence of outliers can cause significant uncertainties to interpretation results; hence, it is essential to remove the outliers accurately and efficiently before conducting any further analysis. A total of 17 techniques that belong to statistical, regression-based, and machine learning (ML) based categories for outlier detection in timeseries are applied to the oil and gas production data analysis. 15 of these methods are utilized for production data analysis for the first time. Two state-of-the-art and high-performance techniques are then selected for data cleaning which require minimum control and time complexity. Moreover, performances of these techniques are evaluated based on several metrics including the accuracy, precision, recall, F1 score, and Cohen's Kappa to rank the techniques. Results show that eight unsupervised algorithms outperform the rest of the methods based on the synthetic case study with known outliers. For example, accuracies of the eight shortlisted methods are in the range of 0.830.99 with a precision between 0.83 and 0.98, compared to 0.650.82 and 0.070.77 for the others. In addition, ML-based techniques perform better than statistical techniques. Our experimental results on real field data further indicate that the k-nearest neighbor (KNN) and Fulford-Blasingame methods are superior to other outlier detection frameworks for outlier detection in production data, followed by four others including density-based spatial clustering of applications with noise (DBSCAN), and angle-based outlier detection (ABOD). Even though the techniques are examined with oil and gas production data, but the same data cleaning workflow can be used to detect timeseries outliers in other disciplines.  2021","Alimohammadi, Hamzeh; Nancy Chen, Shengnan",10.1016/j.eswa.2021.116371,journalArticle,CF22C3TD,2022,aug,1
A novel load forecasting approach based on smart meter data using advance preprocessing and hybrid deep learning,NO,,,,"… After the data cleansing and outlier … machine learning and deep learning models to find the optimal short-term load forecasting. First, we performed experiments over machine learning …","Ünal, F; Almalaq, A; Ekici, S",,journalArticle,4AZ88MHW,2021,,1
A Radial Visualisation for Model Comparison and Feature Identification,NO,,,,"Machine Learning (ML) plays a key role in various intelligent systems, and building an effective ML model for a data set is a difficult task involving various steps including data cleaning, feature definition and extraction, ML algorithms development, model training and evaluation as well as others. One of the most important steps in the process is to compare generated substantial amounts of ML models to find the optimal one for the deployment. It is challenging to compare such models with dynamic number of features. This paper proposes a novel visualisation approach based on a radial net to compare ML models trained with a different number of features of a given data set while revealing implicit dependent relations. In the proposed approach, ML models and features are represented by lines and arcs respectively. The dependence of ML models with dynamic number of features is encoded into the structure of visualisation, where ML models and their dependent features are directly revealed from related line connections. ML model performance information is encoded with colour and line width in the innovative visualisation. Together with the structure of visualization, feature importance can be directly discerned to help to understand ML models.  2020 IEEE.","Zhou, Jianlong; Huang, Weidong; Chen, Fang",10.1109/PacificVis48177.2020.1028,conferencePaper,K7UF8A99,2020,,1
Tackling class overlap and imbalance problems in software defect prediction,NO,,,,"Software defect prediction (SDP) is a promising solution to save time and cost in the software testing phase for improving software quality. Numerous machine learning approaches have proven effective in SDP. However, the unbalanced class distribution in SDP datasets could be a problem for some conventional learning methods. In addition, class overlap increases the difficulty for the predictors to learn the defective class accurately. In this study, we propose a new SDP model which combines class overlap reduction and ensemble imbalance learning to improve defect prediction. First, the neighbor cleaning method is applied to remove the overlapping non-defective samples. The whole dataset is then randomly under-sampled several times to generate balanced subsets so that multiple classifiers can be trained on these data. Finally, these individual classifiers are assembled with the AdaBoost mechanism to build the final prediction model. In the experiments, we investigated nine highly unbalanced datasets selected from a public software repository and confirmed that the high rate of overlap between classes existed in SDP data. We assessed the performance of our proposed model by comparing it with other state-of-the-art methods including conventional SDP models, imbalance learning and data cleaning methods. Test results and statistical analysis show that the proposed model provides more reasonable defect prediction results and performs best in terms of G-mean and AUC among all tested models.  2016, Springer Science+Business Media New York.","Chen, Lin; Fang, Bin; Shang, Zhaowei; Tang, Yuanyan",10.1007/s11219-016-9342-6,journalArticle,UIJC2SSI,2018,,1
Traffic flow prediction at varied time scales via ensemble empirical mode decomposition and artificial neural network,NO,,,,"… prediction framework based on EEMD and an artificial neural network (ANN). More specifically, … We verified the proposed framework performance in both data cleansing and prediction …","Chen, X; Lu, J; Zhao, J; Qu, Z; Yang, Y; Xian, J",,journalArticle,TKGIY2W6,2020,,1
Developing machine learning products better and faster at startups,NO,,,,"… we have multiple products that use supervised machine learning and share classes and functions for data cleaning, outlier detection … for products that use deep learning algorithms …","Shams, R",,journalArticle,YSH79BDN,2018,,1
Factors affecting agriculture and estimation of crop yield using supervised learning algorithms,NO,,,,"… The first objective of data preparation phase is data cleansing, it is the … The next thing to do after data cleansing is to select the … the outcome are supervised machine learning algorithms …","Lad, AM; Bharathi, KM; Saravanan, BA; ...",,journalArticle,QHQZFEDD,2022,,1
"Data cleaning for accurate, fair, and robust models: A big data - AI integration approach",YES,"DC4ML, ML4DC",tabular,,"The wide use of machine learning is fundamentally changing the software development paradigm (a.k.a. Software 2.0) where data becomes a first-class citizen, on par with code. As machine learning is used in sensitive applications, it becomes imperative that the trained model is accurate, fair, and robust to attacks. While many techniques have been proposed to improve the model training process (in-processing approach) or the trained model itself (post-processing), we argue that the most effective method is to clean the root cause of error: the data the model is trained on (pre-processing). Historically, there are at least three research communities that have been separately studying this problem: data management, machine learning (model fairness), and security. Although a significant amount of research has been done by each community, ultimately the same datasets must be preprocessed, and there is little understanding how the techniques relate to each other and can possibly be integrated. We contend that it is time to extend the notion of data cleaning for modern machine learning needs. We identify dependencies among the data preprocessing techniques and propose MLClean, a unified data cleaning framework that integrates the techniques and helps train accurate and fair models. This work is part of a broader trend of Big data - Artificial Intelligence (AI) integration.  2019 ACM.","Tae, Ki Hyun; Roh, Yuji; Oh, Young Hun; Kim, Hyunsu; Whang, Steven Euijong",10.1145/3329486.3329493,conferencePaper,BCZFPPEB,2019,aug,1
Personalized Travel Route Recommendation Model of Intelligent Service Robot Using Deep Learning in Big Data Environment,NO,,,,"Aiming at the problems that the traditional model is difficult to extract information features, difficult to learn deep knowledge, and cannot automatically and effectively obtain features, which leads to the problem of low recommendation accuracy, this paper proposes a personalized tourism route recommendation model of intelligent service robot using deep learning in a big data environment. Firstly, by crawling the relevant website data, obtain the basic information data and comment the text data of tourism service items, as well as the basic information data, and comment the text data of users and preprocess them, such as data cleaning. Then, a neural network model based on the self-attention mechanism is proposed, in which the data features are obtained by the Gaussian kernel function and node2vec model, and the self-attention mechanism is used to capture the long-term and short-term preferences of users. Finally, the processed data is input into the trained recommendation model to generate a personalized tourism route recommendation scheme. The experimental analysis of the proposed model based on Pytorch deep learning framework shows that its Pre@10, Rec@10 values are 88% and 83%, respectively, and the mean square error is 1.537, which are better than other comparison models and closer to the real tourist route of the tourists.  2022 Xiang Huang.","Huang, Xiang",10.1155/2022/7778592,journalArticle,5846A973,2022,,1
Software for data cleaning and forecasting,Secondary works,,,,"Since the appearance of Data Mining concept until the era of Big Data, the change in size of analyzed data, the arise of high performance systems, new technologies and software programs. Data science emerge as a field, which combines many approaches and techniques, related to data analyzing, process of data cleaning, integration of data, selection and transformation, knowledge extraction, evaluation and representation. The report outlines the main problems the authors encountered in cleaning up the data before analyzing it and proposes new SCSV software (scala comma separated values). Experiments have been conducted to clean up and analyze large volumes of data, based on machine learning techniques, from annual surveys among StackOverflow users.  2020 IEEE.","Dimov, Teodor; Orozova, Daniela",10.1109/SIELA49118.2020.9167163,conferencePaper,XDM7Q67A,2020,,1
Semi-Supervised Few-Shot Learning via Multi-Factor Clustering,NO,,,,"… Iterative label cleaning for transductive and semi-supervised few-shot learning. In Proceedings of the IEEE/CVF International Conference on Computer Vision, pages 8751–8760, 2021. …","Ling, J; Liao, L; Yang, M; Shuai, J",,journalArticle,CW6DKMKC,2022,,1
Cleaning historical maintenance work order data for reliability analysis,NO,,,,… This paper describes typical data cleaning decisions we all … presents a process to support the data cleaning decisions in a … or machine learning system is to be used for data cleansing …,"Hodkiewicz, M; Ho, MTW",10.1108/JQME-04-2015-0013,journalArticle,SJE2GN6K,2016,,1
Yield observation outlier detection with unsupervised machine learning in harvest machines,NO,,,,"Having a reliable yield map is an important key to unlock the value of precision agriculture. This work demonstrates an application of unsupervised machine learning for harvester yield monitoring recovery in the presence of noise for constructing a reliable yield map. The objective of this research is to propose a fully automated statistical and machine learning pipeline to clean primary harvested raw grain observations, regardless of combine series and types. Harvest yield observations are contaminated with different sources of error that obfuscate the spatial structure of the yield observations. The error sources are well-known, mostly inherited from the dynamic nature of operation, speed changes, irregular field topography, non-fully used cutting bar, and start/end delays of headland and filling/emptying times. To identify measurements with such error sources, the proposed pipeline incorporates two processing operations to be applied on the data. The first data cleaning operation is done by setting thresholds based on the lower and upper quartiles as well as the interquartile range (IQR) to detect outliers. In the second operation, the Robust Kernel Outlier Factor (RKOF) is deployed to detect local outliers. The developed method is tested on real yield monitoring data from winter wheat and wintery barley crops. Validation (root mean square error) demonstrates a 75% improvement in the yield map after eliminating the noise. The developed pipeline provides an automated outlier detection with a smaller number of outliers found in the dataset compared to other publications.  2022, VDI Verlag GMBH. All rights reserved.","Abdipourchenarestansofla, Morteza; Piepho, H.P.",10.51202/9783181023952-343,journalArticle,YXMU7Q7F,2022,,1
Deep learning model for multimedia quality of experience prediction based on network flow packets,NO,,,,… Our proposed predictor is based in a deep learning model that is especially suitable for these … training samples available and the noisy nature of error detection (subjective component). …,"Lopez-Martin, M; Carro, B; Lloret, J; ...",,journalArticle,4H8T8YKW,2018,,1
Importance of Customer Churn Prediction Using Machine Learning and Providing Recommendation Plans in Mobile Telecommunication Industry in Sri Lanka,NO,,,,"… In this research is using the Cell2Cell dataset, using supervised learning method identifying … So, data cleaning and validation part pays a major role in the research and by using python …","Illangasinghe, I",,book,9UNWTLDK,2022,,1
"Data preparation for machine learning: data cleaning, feature selection, and data transforms in Python",Secondary works,,,,"Data preparation involves transforming raw data in to a form that can be modeled using machine learning algorithms. Cut through the equations, Greek letters, and confusion, and …","Brownlee, J",,book,3MUQG3MB,2020,,1
Crime Rate Prediction Using Machine Learning,NO,,,,"… Using a training set of data that has undergone data cleansing and data transformation, we have developed a model using the machine learning idea. With an accuracy of 0.789, the …","Tanveer, SA; Khyathi, B; Latha, VGS; Jagadeeswar, T",,journalArticle,Y3UJBLHC,0,,1
Exploration on spatiotemporal data repairing of parking lots based on recurrent GANs,NO,,,,"… a strategy selection problem in reinforcement learning and considers … Considering the challenging of data repairing, to a … L. Metz, and S. Chintala, “Unsupervised representation learning …","Sun, Y; Peng, L; Li, H; Sun, M",,journalArticle,ZB2EEIAU,2018,,1
Application of a convolutional neural network for predicting the occurrence of ventricular tachyarrhythmia using heart rate variability features,NO,,,,"Predicting the occurrence of ventricular tachyarrhythmia (VTA) in advance is a matter of utmost importance for saving the lives of cardiac arrhythmia patients. Machine learning algorithms have been used to predict the occurrence of imminent VTA. In this study, we used a one-dimensional convolutional neural network (1-D CNN) to extract features from heart rate variability (HRV), thereby to predict the onset of VTA. We also compared the prediction performance of our CNN with other machine leaning (ML) algorithms such as an artificial neural network (ANN), a support vector machine (SVM), and a k-nearest neighbor (KNN), which used 11 HRV features extracted using traditional methods. The proposed CNN achieved relatively higher prediction accuracy of 84.6%, while the ANN, SVM, and KNN algorithms obtained prediction accuracies of 73.5%, 67.9%, and 65.9% using 11 HRV features, respectively. Our result showed that the proposed 1-D CNN could improve VTA prediction accuracy by integrating the data cleaning, preprocessing, feature extraction, and prediction.","Taye, GT; Hwang, HJ; Lim, KM",10.1038/s41598-020-63566-8,journalArticle,E2M235HF,2020,,1
High Definition image classification in Geoscience using Machine Learning [arXiv],NO,,,,"High Definition (HD) digital photos taken with drones are widely used in the study of Geoscience. However, blurry images are often taken in collected data, and it takes a lot of time and effort to distinguish clear images from blurry ones. In this work, we apply Machine learning techniques, such as Support Vector Machine (SVM) and Neural Network (NN) to classify HD images in Geoscience as clear and blurry, and therefore automate data cleaning in Geoscience. We compare the results of classification based on features abstracted from several mathematical models. Some of the implementation of our machine learning tool is freely available at: https://github.com/zachgolden/geoai.","Yajun An; Golden, Z.; Wilcox, T.; Cao, R.",,journalArticle,59JVGY2B,2020,,1
