Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,match_criteria
I33WY4EF,conferencePaper,2020.0,"Patel, Jayesh",Unification of Machine Learning Features,"44th IEEE Annual Computers, Software, and Applications Conference, COMPSAC 2020, July 13, 2020  -  July 17, 2020",,,10.1109/COMPSAC48688.2020.00-93,,"In the Information Age, Machine learning (ML) provides a competitive advantage to any business. Machine learning applications are not limited to driverless cars or online recommendations but are widely used in healthcare, social services, government systems, telecommunications, and so on. As many enterprises are trying to step up machine learning applications, it is critical to have a long-term strategy. Most of the enterprises are not able to truly realize the fruits of ML capabilities due to its complexity. It is easier to access a variety of data today due to data democratization, distributed storage, technological advancements, and big data applications. Despite easier data access and recent advancements in ML, developers still spend most of the time in data cleansing, data preparation, and data modeling for ML applications. These steps are often repeated and result in identical features. As identical features can have inconsistent processing while testing and training, more issues pop up at later stages in ML application development. The unification of ML features is an effective way to address these issues. This paper presents details about numerous methods to achieve ML features unification.  2020 IEEE.",2020,2022-06-10 02:09:39,2022-07-31 03:47:47,,1201-1205,,,,,,,"Proceedings - 2020 IEEE 44th Annual Computers, Software, and Applications Conference, COMPSAC 2020",,,,Institute of Electrical and Electronics Engineers Inc.,"Virtual, Madrid, Spain",,,,,,,,,,,http://dx.doi.org/10.1109/COMPSAC48688.2020.00-93,"Machine learning; Digital storage; Application programs; Big Data; Competition; Online systems; Training; Data models; Distributed databases; Business; Complexity theory; ML Pipeline, Feature Engineering, ML Development, Feature store, Big Data Engineering; Big Data Engineering; Feature Engineering; Feature store; ML Development; ML Pipeline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
EUH6TJPF,conferencePaper,2016.0,"Krishnan, Sanjay; Franklin, Michael J.; Goldberg, Ken; Wang, Jiannan; Wu, Eugene",ActiveClean: An interactive data cleaning framework for modern machine learning,"2016 ACM SIGMOD International Conference on Management of Data, SIGMOD 2016, June 26, 2016  -  July 1, 2016",07308078,,10.1145/2882903.2899409,,"Databases can be corrupted with various errors such as missing, incorrect, or inconsistent values. Increasingly, modern data analysis pipelines involve Machine Learning, and the effects of dirty data can be difficult to debug. Dirty data is often sparse, and naive sampling solutions are not suited for high-dimensional models. We propose ActiveClean, a progressive framework for training Machine Learning models with data cleaning. Our framework updates a model iteratively as the analyst cleans small batches of data, and includes numerous optimizations such as importance weighting and dirty data detection. We designed a visual interface to wrap around this framework and demonstrate ActiveClean for a video classification problem and a topic modeling problem.  2016 ACM.",2016,2022-06-10 02:09:39,2022-07-31 15:41:18,,2117-2120,,,26-June-2016,,,,Proceedings of the ACM SIGMOD International Conference on Management of Data,,,,Association for Computing Machinery,"San Francisco, CA, United states",,,,,,,,,,,http://dx.doi.org/10.1145/2882903.2899409,"data cleaning, machine learning; Machine learning; machine learning, data cleaning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
99L27D25,journalArticle,2020.0,"Lew, Alexander K.; Agrawal, Monica; Sontag, David; Mansinghka, Vikash",PClean: Bayesian data cleaning at scale with domain-specific probabilistic programming,,,23318422,,,"Data cleaning is naturally framed as probabilistic inference in a generative model, combining a prior distribution over ground-truth databases with a likelihood that models the noisy channel by which the data are filtered, corrupted, and joined to yield incomplete, dirty, and denormalized datasets. Based on this view, we present PClean, a unified generative modeling architecture for cleaning and normalizing dirty data in diverse domains. Given an unclean dataset and a probabilistic program encoding relevant domain knowledge, PClean learns a structured representation of the data as a relational database of interrelated objects, and uses this latent structure to impute missing values, identify duplicates, detect errors, and propose corrections in the original data table. PClean makes three modeling and inference contributions: (i) a domain-general non-parametric generative model of relational data, for inferring latent objects and their network of latent connections; (ii) a domain-specific probabilistic programming language, for encoding domain knowledge specific to each dataset being cleaned; and (iii) a domain-general inference engine that adapts to each PClean program by constructing data-driven proposals used in sequential Monte Carlo and particle Gibbs. We show empirically that short ( 50-line) PClean programs deliver higher accuracy than state-of-the-art data cleaning systems based on machine learning and weighted logic; that PCleans inference algorithm is faster than generic particle Gibbs inference for probabilistic programs; and that PClean scales to large real-world datasets with millions of rows. Copyright  2020, The Authors. All rights reserved.",2020,2022-06-10 02:09:40,2022-07-31 04:54:46,,,,,,,,,arXiv,,,,,,,,,,,,,Publisher: arXiv,,,,Cleaning; Machine learning; Domain Knowledge; Inference engines; Large dataset; Probability distributions; Signal encoding; Encoding (symbols); Monte Carlo methods; Modeling languages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
IHXAR7EV,journalArticle,2021.0,"Parulian, Nikolaus Nova; McPhillips, Timothy M.; Ludascher, Bertram",A Model and System for Querying Provenance from Data Cleaning Workflows,"8th and 9th International Provenance and Annotation Workshop, IPAW 2020 and IPAW 2021 held as part of ProvenanceWeek in 2020 and 2021, July 19, 2020  -  July 22, 2020",,,10.1007/978-3-030-80960-7_11,,"Data cleaning is an essential component of data preparation in machine learning and other data science workflows, and is widely recognized as the most time-consuming and error-prone part when working with real-world data. How data was prepared and cleaned has a significant impact on the reliability and trustworthiness of results of any subsequent analysis. Transparent data cleaning not only requires that provenance (i.e., operation history and value changes) be captured, but also that those changes are easy to explore and evaluate: The data scientists who prepare the data, as well as others who want to reuse the cleaned data for their studies, need to be able to easily explore and query its data cleaning history. We have developed a domain-specific provenance model for data cleaning that supports the kind of provenance questions that data scientists need to answer when inspecting and debugging data preparation histories. The design of the model was driven by the need (i) to answer relevant, user-oriented provenance questions, and (ii) to do so in an effective and efficient manner. The model is a refinement of an earlier provenance model and has been implemented as a companion tool to OpenRefine, a popular, open source tool for data cleaning.  2021, Springer Nature Switzerland AG.",2021,2022-06-10 02:09:40,2022-07-31 15:42:12,,183-197,,,12839 LNCS,,,,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),,,,,,,,,,,,,,,,http://dx.doi.org/10.1007/978-3-030-80960-7_11,"Cleaning; Data Science; Reliability analysis; Workflows, Data cleaning, Domain-specific provenance models, Provenance queries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
B6PI928L,conferencePaper,2020.0,"Yuan, Jindou; Chen, Songsong; Gong, Feixiang; Li, Lei",Research on Data Recognition of Power Distribution Network in Transformer District Based on Recurrent Neural Network,"6th IEEE International Conference on Computer and Communications, ICCC 2020, December 11, 2020  -  December 14, 2020",,,10.1109/ICCC51575.2020.9345167,,"As the scale of collected data continues to increase, traditional anomaly detection methods are difficult to apply to large-scale online detection systems. Therefore, this paper uses the recurrent neural network (RNN) in deep learning theory to realize the anomaly detection of time series data in the power system. The models built in this paper have relatively high feasibility and effectiveness compared with the k-nearest neighbor (KNN) algorithm. The precision and the recall rate of abnormal data detection both reaches 98.6%. Finally, the data cleaning framework is proposed to process the data.  2020 IEEE.",2020,2022-06-10 02:09:40,2022-07-31 14:57:46,,2038-2041,,,,,,,"2020 IEEE 6th International Conference on Computer and Communications, ICCC 2020",,,,Institute of Electrical and Electronics Engineers Inc.,"Chengdu, China",,,,,,,,,,,http://dx.doi.org/10.1109/ICCC51575.2020.9345167,algorithm; Anomaly detection; Cleaning; Conferences; data recognition; Deep learning; Nearest neighbor search; Online systems; power distribution; Power systems; recurrent neural network; Recurrent neural networks; Time series analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
PZBEUPRC,journalArticle,2021.0,"Ma, Lichuan; Pei, Qingqi; Zhou, Lu; Zhu, Haojin; Wang, Licheng; Ji, Yusheng",Federated Data Cleaning: Collaborative and Privacy-Preserving Data Cleaning for Edge Intelligence,IEEE Internet of Things Journal,,23274662,10.1109/JIOT.2020.3027980,,"As an important driving factor of emerging Internet-of-Things (IoT) applications, machine learning algorithms are currently facing the challenge of how to 'clean' data noise, that is introduced during the training process (e.g., asynchronous execution and lossy data compression and quantization). In an attempt to guarantee data quality, various data cleaning approaches have been proposed to filter out abnormal data entries based on the global data distribution. However, most existing data cleaning approaches are based on a centralized paradigm and thus cannot be applied to future edge-based IoT applications, where each edge node (EN) has only a limited view of the global data distribution. Moreover, the increasing demand for privacy preservation largely prevents ENs from combining their data for centralized cleaning. In this study, we propose a federated data cleaning protocol, coined as FedClean, for edge intelligence (EI) scenarios that is designed to achieve data cleaning without compromising data privacy. More specifically, different ENs first generate Boolean shares of their data and distribute them to two noncolluding servers. These two servers then run the FedClean protocol to privately and efficiently compute the attribute value frequency (AVF) scores of the collected data entries, which are then sorted in ascending order via a bitonic sorting network without revealing their values. As a result, data entries with lower AVF scores are considered as abnormal and filtered out. The security, efficiency, and effectiveness of the proposed approach are then demonstrated via concrete security analysis and comprehensive experiments.  2014 IEEE.",2021,2022-06-10 02:09:40,2022-07-31 03:14:09,,6757-6770,,8,8,,IEEE Internet of Things Journal,,,,,,,,,,,,,,,Publisher: Institute of Electrical and Electronics Engineers Inc.,,,http://dx.doi.org/10.1109/JIOT.2020.3027980,Cleaning; Machine learning; Learning algorithms; Internet of things; Privacy by design; Internet of Things; Data privacy; Data cleaning; Data models; Collaboration; edge intelligence (EI); privacy preserving; Protocols; Servers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
D8BZKIFC,journalArticle,2021.0,"Mansor, Norsuhada; Sani, Nor Samsiah; Aliff, Mohd",Machine Learning for Predicting Employee Attrition,International Journal of Advanced Computer Science and Applications,,2158107X,10.14569/IJACSA.2021.0121149,,"Employee attrition has become a focus of researchers and human resources because of the effects of poor performance on organizations regardless of geography, industry, or size. In this context, the use of machine learning classification models to predict whether an employee is likely to quit could greatly increase the human resource department's ability to intervene on time and possibly provide a remedy to the situation to prevent attrition. This study is conducted with an objective to compare the performance machine learning techniques, namely, Decision Tree (DT) classifier, Support Vector Machines (SVM) classifier, and Artificial Neural Networks (ANN) classifier, and select the best model. These machine learning techniques are compared using the IBM Human Resource Analytic Employee Attrition and Performance dataset. Preprocessing steps for the dataset used in this comparative study include data exploration, data visualization, data cleaning and reduction, data transformation, discretization, and feature selection. In this study, parameter tuning and regularization techniques to overcome overfitting issues are applied for optimization purposes. The comparative study conducted on the three classifiers found that the optimized SVM model stood as the best model that can be used to predict employee attrition with the highest accuracy percentage of 88.87% as compared to the other classification models experimented with, followed by ANN and DT.  2021. All Rights Reserved.",2021,2022-06-10 02:09:40,2022-07-31 03:10:25,,435-445,,11,12,,International Journal of Advanced Computer Science and Applications,,,,,,,,,,,,,,,Publisher: Science and Information Organization,,,http://dx.doi.org/10.14569/IJACSA.2021.0121149,Learning algorithms; neural nets; Neural networks; Decision trees; Support vector machines; Forecasting; data analysis; learning (artificial intelligence); pattern classification; Data visualization; Metadata; decision trees; Personnel; support vector machines; machine learning; Artificial neural networks; decision tree; employee attrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
9Z2G9QA9,journalArticle,2017.0,"Chuck, Caleb; Laskey, Michael; Krishnan, Sanjay; Joshi, Ruta; Fox, Roy; Goldberg, Ken",Statistical data cleaning for deep learning of automation tasks from demonstrations,"13th IEEE Conference on Automation Science and Engineering, CASE 2017, August 20, 2017  -  August 23, 2017",,,10.1109/COASE.2017.8256258,,"Automation using deep learning from demonstrations requires many training examples. Gathering this data is time consuming and expensive, and human demonstrators are prone to inconsistencies and errors that can delay or degrade learning. This paper explores how characterizing supervisor inconsistency and correcting for this noise can improve task performance with a limited budget of data. We consider a planar part extraction task (separating one part from a group) where human operators provide demonstrations by teleoperating a 2DOF robot. We analyze 30, 000 image-control pairs from 480 trajectories. After error corrections, trained CNN models show an improvement of 11.2% upon the baseline in mean absolute success rate.  2017 IEEE.",2017,2022-06-10 02:09:40,2022-07-31 04:15:40,,1142-1149,,,2017-August,,,,IEEE International Conference on Automation Science and Engineering,,,,,,,,,,,,,,,,http://dx.doi.org/10.1109/COASE.2017.8256258,Deep learning; Automation; Error correction; Budget control; Personnel training; Demonstrations; PERFORMANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
EY8S6HSK,conferencePaper,2016.0,"Berka, Petr",Data cleansing using clustering,"4th International Conference on Man–Machine Interactions, ICMMI 2015, October 6, 2015 - October 9, 2015",21945357,,10.1007/978-3-319-23437-3_33,,"One of the data quality issues, that heavily influences the performance of the classifiers learned from data is the amount of examples, that are indistinguishable but belong to different classes. Such situation occurs not only if the data (either original or preprocessed) contain contradictions, i. e. examples that have same values of input attributes but different class labels but also if different (but very similar) examples of different classes remain indistinguishable during the subsequent machine learning step. We propose a clustering based approach that tries to resolve such situation by identifying and removing these ""weak"" contradictions. The effect of data cleansing is then evaluated using decision tree learning algorithm on the reduced data set. To experimentally evaluate our method, we used some benchmark data from the UCI Machine Learning repository.  Springer International Publishing Switzerland 2016.",2016,2022-06-10 02:09:40,2022-07-31 14:32:04,,391-399,,,391,,,,Advances in Intelligent Systems and Computing,,,,Springer Verlag,"Kocierz Pass, Poland",,,,,,,,,,,http://dx.doi.org/10.1007/978-3-319-23437-3_33,Machine learning; Decision trees; Trees (mathematics); Random forests; Data cleansing; Clustering; Data quality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
HVCRMKB9,journalArticle,2021.0,"Guo, Pengwei; Meng, Weina; Xu, Mingfeng; Li, Victor C.; Bao, Yi",Predicting mechanical properties of high-performance fiber-reinforced cementitious composites by integrating micromechanics and machine learning,Materials,,19961944,10.3390/ma14123143,,"Current development of high-performance fiber-reinforced cementitious composites (HPFRCC) mainly relies on intensive experiments. The main purpose of this study is to develop a machine learning method for effective and efficient discovery and development of HPFRCC. Specifically, this research develops machine learning models to predict the mechanical properties of HPFRCC through innovative incorporation of micromechanics, aiming to increase the prediction accuracy and generalization performance by enriching and improving the datasets through data cleaning, principal component analysis (PCA), and K-fold cross-validation. This study considers a total of 14 different mix design variables and predicts the ductility of HPFRCC for the first time, in addition to the compressive and tensile strengths. Different types of machine learning methods are investigated and compared, including artificial neural network (ANN), support vector regression (SVR), classification and regression tree (CART), and extreme gradient boosting tree (XGBoost). The results show that the developed machine learning models can reasonably predict the concerned mechanical properties and can be applied to perform parametric studies for the effects of different mix design variables on the mechanical properties. This study is expected to greatly promote efficient discovery and development of HPFRCC.  2021 by the authors. Licensee MDPI, Basel, Switzerland.",2021,2022-06-10 02:09:40,2022-07-31 04:44:20,,,,12,14,,Materials,,,,,,,,,,,,,,,Publisher: MDPI AG,,,http://dx.doi.org/10.3390/ma14123143,Machine learning; Neural networks; Forecasting; Forestry; Turing machines; Support vector regression; Adaptive boosting; Tensile strength; machine learning; ANN; BEHAVIOR; COMPRESSIVE STRENGTH; ductility; ECC; ELASTIC-MODULUS; EXPOSURE; high-performance fiber-reinforced cementitious composites (HPFRCC); HIGH-STRENGTH CONCRETE; mechanical properties; micromechanics model; POLYETHYLENE FIBER; TENSILE PROPERTIES; VOLUME FLY-ASH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Q5X4EMA5,journalArticle,2020.0,"Brown, Nick; Roubikova, Anna; Lampaki, Ioanna; MacGregor, Lucy; Ellis, Michelle; Vera de Newton, Paola",Machine learning on Crays to optimize petrophysical workflows in oil and gas exploration,,,,10.1002/cpe.5655,,"The oil and gas industry is awash with sub-surface data, which is used to characterize the rock and fluid properties beneath the seabed. This drives commercial decision making and exploration, but the industry relies upon highly manual workflows when processing data. A question is whether this can be improved using machine learning, complementing the activities of petrophysicists searching for hydrocarbons. In this paper, we present work using supervised learning with the aim of decreasing the petrophysical interpretation time down from over 7 days to 7 minutes. We describe the use of mathematical models that have been trained using raw well log data, to complete each of the four stages of a petrophysical interpretation workflow, in addition to initial data cleaning. We explore how the predictions from these models compare against the interpretations of human petrophysicists, and numerous options and techniques that were used to optimize the models. The result of this work is the ability, for the first time, to use machine learning for the entire petrophysical workflow. 2020 John Wiley & Sons, Ltd.",2020,2022-06-10 02:09:40,2022-07-31 05:25:03,,,,,32,,,,Concurrency and Computation: Practice and Experience,,,,,,,,,,,,,Issue: 20,,,http://dx.doi.org/10.1002/cpe.5655,Machine learning; Learning systems; Neural networks; Decision making; Predictive analytics; Digital storage; Petroleum industry; Gas industry; Petroleum prospecting; Well logging; machine learning; neural networks; Oil well logging; Petrophysics; boosted trees; LITHOLOGY; LOGS; oil and gas; petrophysical interpretation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
TYRXCM3P,journalArticle,2021.0,"Xu, Rui; Deng, Xiaoling; Wan, Hang; Cai, Yanpeng; Pan, Xipeng",A deep learning method to repair atmospheric environmental quality data based on Gaussian diffusion,Journal of Cleaner Production,,09596526,10.1016/j.jclepro.2021.127446,,"Online monitoring data of atmospheric environmental quality often deviate or are missing, causing a great impact on regional atmospheric quality analysis. In this study, a deep learning method to repair atmospheric environmental quality data based on Gaussian diffusion and gate recurrent unit (GD-GRU) was developed to improve repair accuracy. A multi-source Gaussian diffusion model was developed to estimate PM2.5 based on the pollutant diffusion law and the data of 61 stations in Guilin. The root mean square error (RMSE) of the estimated and observed value was extracted as the error sequence. The error value was regarded as output of gate recurrent unit (GRU) with the inputs of weather and pollutant parameters. Missing data were calculated by Gaussian diffusion estimated value and the error predicted by GRU. The established GD-GRU model was applied to repair the long-sequence missing data. The analytical results indicated that the GD-GRU model had higher prediction accuracy of extreme values than Gaussian diffusion model and GRU model, because GD-GRU based on Gaussian diffusion can calculate the extreme value by simulating the diffusion and transmission mechanism. The established model predicted PM2.5 concentration in the next hours with an RMSE of 12.561, which was approximately 21.02% better, on average, than methods like autoregressive integrated moving average model (ARIMA), support vector regression (SVR), recurrent neural network (RNN), long short-term memory model (LSTM), and GRU. The established GD-GRU model demonstrated good performance on extreme values prediction and air quality data repair, thus providing a new method for air quality long-sequence missing data repair.  2021 Elsevier Ltd",2021,2022-06-10 02:09:41,2022-07-30 22:21:44,,,,,308,,Journal of Cleaner Production,,,,,,,,,,,,,,,Publisher: Elsevier Ltd,,,http://dx.doi.org/10.1016/j.jclepro.2021.127446,Long short-term memory; Repair; Deep learning; Errors; Air quality; Mean square error; Gaussian distribution; Diffusion; Data repair; PM2.5; PM; Gaussian diffusion; PREDICTION; MODEL; NEURAL-NETWORKS; OZONE; POLLUTANTS; POLLUTION; SUPPORT VECTOR MACHINE; TRANSFORMATION; TRANSPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
3TPJFYWL,conferencePaper,2019.0,"Li, Chuan; Hou, Yunqi; Yu, Zhang",Research on data cleaning technology based on instance level,"2019 2nd International Conference on Advanced Algorithms and Control Engineering, ICAACE 2019, April 26, 2019  -  April 28, 2019",17426588,,10.1088/1742-6596/1213/2/022021,,"In the era of current data explosion, data cleaning becomes an important part of data analysis, and it is also one of the important means to improve data quality. In this paper, the concept, principle, process, detection method and related cleaning algorithm of structural data cleaning are introduced in detail through the data cleaning technology based on instance level. In view of the outstanding data quality problems based on instance level, relevant experiment is designed, the operation and verification process of structural data cleaning will explain concretely through visual programming technology and machine learning algorithm. Finally, the research of data cleaning technology in the future is prospected.  2019 IOP Publishing Ltd. All rights reserved.",2019,2022-06-10 02:09:41,2022-07-31 14:57:54,,,,,1213,,,,Journal of Physics: Conference Series,,,,IOP Publishing Ltd,"Guilin, China",,,,,,,,Issue: 2,,,http://dx.doi.org/10.1088/1742-6596/1213/2/022021,Cleaning; Computer programming; Data handling; Data mining; Learning algorithms; Machine learning; Quality control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
H4ZDHSIR,journalArticle,2019.0,"Chen, Yajing; Zhu, Zhouyuan; Lu, Yangxiao; Hu, Changhao; Gao, Fei; Li, Wei; Sun, Nian; Feng, Tian",Reservoir recovery estimation using data analytics and neural network based analogue study,"SPE/IATMI Asia Pacific Oil and Gas Conference and Exhibition 2019, APOG 2019, October 29, 2019  -  October 31, 2019",,,10.2118/196487-ms,,"Reservoir analogue study, which is different with flow physics based prediction methods such as reservoir simulation, is based on human experience and knowledge from skilled reservoir engineers. In this work, we present a new workflow to replace the human knowledge-based analogue studies with data analytics and machine learning techniques. First, we collect reservoir properties, development parameters, and historical recovery data for 1381 actual U.S. oilfields from Tertiary Oil Recovery Information System (TORIS) by U.S. Department of Energy. We conduct extensive data cleaning for outliers and missing values. Then, we determine the most important determining factors for recovery factors. We further use single-variable and bi-variable analysis to understand relationship between recovery factor and determining factors. Finally, we use train an Artificial Neural Network (ANN) model to make recovery factors predictions. We have found that the recovery factors mostly depend on 19 principal factors, a reduction from a total of more than 70 properties originally in TORIS. We randomly select data from 90% of these oilfields as training set for machine learning. The predictability and accuracy of such methodology is tested by making recovery forecasts for the remaining 10% oilfields and by comparing the forecasts with the actual recovery factors. Eventually, the average error in recovery factor predicted by the trained ANN model is about 10%. Overall, this methodology has shown strong performance in computer assisted analogue study, which shows minimum requirements on human knowledge and hands-on work to study these 1381 oilfields. This work provides a new workflow of using data analytics and machine learning techniques for reservoir analogues studies. Reservoir engineering software systematically built based on this methodology can serve as more efficient and accurate predictive tool in studying reservoir analogues. Copyright 2019, Society of Petroleum Engineers.",2019,2022-06-10 02:09:41,2022-07-31 04:36:12,,,,,,,,,"Society of Petroleum Engineers - SPE/IATMI Asia Pacific Oil and Gas Conference and Exhibition 2019, APOG 2019",,,,,,,,,,,,,,,,http://dx.doi.org/10.2118/196487-ms,Machine learning; Neural networks; Forecasting; Knowledge based systems; Data Analytics; Oil field development; Computer system recovery; Enhanced recovery; Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
S3BDIXSU,journalArticle,2018.0,"Laure, Berti-Equille; Angela, Bonifati; Tova, Milo",Machine learning to data management: A round trip,"34th IEEE International Conference on Data Engineering, ICDE 2018, April 16, 2018  -  April 19, 2018",,,10.1109/ICDE.2018.00226,,"With the emergence of machine learning (ML) techniques in database research, ML has already proved a tremendous potential to dramatically impact the foundations, algorithms, and models of several data management tasks, such as error detection, data cleaning, data integration, and query inference. Part of the data preparation, standardization, and cleaning processes, such as data matching and deduplication for instance, could be automated by making a ML model 'learn' and predict the matches routinely. Data integration can also benefit from ML as the data to be integrated can be sampled and used to design the data integration algorithms. After the initial manual work to setup the labels, ML models can start learning from the new incoming data that are being submitted for standardization, integration, and cleaning. The more data supplied to the model, the better the ML algorithm can perform and deliver accurate results. Therefore, ML is more scalable compared to traditional and time-consuming approaches. Nevertheless, many ML algorithms require an out-of-The-box tuning and their parameters and scope are often not adapted to the problem at hand. To make an example, in cleaning and integration processes, the window sizes of values used for the ML models cannot be arbitrarily chosen and require an adaptation of the learning parameters. This tutorial will survey the recent trend of applying machine learning solutions to improve data management tasks and establish new paradigms to sharpen data error detection, cleaning, and integration at the data instance level, as well as at schema, system, and user levels.  2018 IEEE.",2018,2022-06-10 02:09:41,2022-07-31 03:15:45,,1735-1738,,,,,,,"Proceedings - IEEE 34th International Conference on Data Engineering, ICDE 2018",,,,,,,,,,,,,,,,http://dx.doi.org/10.1109/ICDE.2018.00226,Cleaning; Machine learning; Classification (of information); Learning systems; Inference engines; Error detection; Data integration; Information management; Query processing; Standardization; error detection; machine learning; data cleaning; classification; clustering; Data models; Task analysis; Databases; data management; data repairing; query inference; Tutorials; DISCOVERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
HNF2YNUT,journalArticle,2019.0,"Hulsebos, Madelon; Hu, Kevin; Bakker, Michiel; Zgraggen, Emanuel; Satyanarayan, Arvind; Kraska, Tim; Demiralp, Caatay; Hidalgo, Cesar",Sherlock: A deep learning approach to semantic data type detection,,,,,,"Correctly detecting the semantic type of data columns is crucial for data science tasks such as automated data cleaning, schema matching, and data discovery. Existing data preparation and analysis systems rely on dictionary lookups and regular expression matching to detect semantic types. However, these matching-based approaches often are not robust to dirty data and only detect a limited number of types.We introduce Sherlock, a multi-input deep neural network for detecting semantic types. We train Sherlock on 686, 765 data columns retrieved from the VizNet corpus by matching 78 semantic types from DBpedia to column headers. We characterize each matched column with 1, 588 features describing the statistical properties, character distributions, word embeddings, and paragraph vectors of column values. Sherlock achieves a support-weighted F1 score of 0.89, exceeding that of machine learning baselines, dictionary and regular expression benchmarks, and the consensus of crowdsourced annotations.  Copyright  2019, The Authors. All rights reserved.",2019,2022-06-10 02:09:41,2022-07-31 04:22:10,,,,,,,,,arXiv,,,,,,,,,,,,,,,,http://dx.doi.org/10.1145/3292500.3330993,"Deep learning; Data Science; Deep neural networks; Data mining; Semantics; Computational linguistics; Pattern matching; deep learning; semantic types, tabular data, type detection, deep learning; semantic types; TABLES; Tabular data; type detection; deep learning, type detection, tabular data, semantic types",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
W2WAE8U9,journalArticle,2022.0,"Abdussami, Aftab Alam; Farooqui, Mohammed Faizan",Optimal Feature Selection with Weight Optimised Deep Neural Network for Incremental Learning-Based Intrusion Detection in Fog Environment,,,02196492,10.1142/S0219649222500423,,"Fog computing acts as an intermediate component to reduce the delays in communication among end-users and the cloud that offer local processing of requests among end-users through fog devices. Thus, the primary aim of fog devices is to ensure the authenticity of incoming network traffic. Anyhow, these fog devices are susceptible to malicious attacks. An efficient Intrusion Detection System (IDS) or Intrusion Prevention System (IPS) is necessary to offer secure functioning of fog for improving efficiency. IDSs are a fundamental component for any security system like the Internet of things (IoT) and fog networks for ensuring the Quality of Service (QoS). Even though different machine learning and deep learning models have shown their efficiency in intrusion detection, the deep insight of managing the incremental data is a complex part. Therefore, the main intent of this paper is to implement an effective model for intrusion detection in a fog computing platform. Initially, the data dealing with intrusion are collected from diverse benchmark sources. Further, data cleaning is performed, which is to identify and remove errors and duplicate data, to create a reliable dataset. This improves the quality of the training data for analytics and enables accurate decision making. The conceptual and temporal features are extracted. Concerning reducing the data length for reducing the training complexity, optimal feature selection is performed based on an improved meta-heuristic concept termed Modified Active Electrolocation-based Electric Fish Optimization (MAE-EFO). With the optimally selected features or data, incremental learning-based detection is accomplished by Incremental Deep Neural Network (I-DNN). This deep learning model optimises the testing weight using the proposed MAE-EFO by concerning the objective as to minimise the error difference between the predicted and actual results, thus enhancing the performance of new incremental data. The validation of the proposed model on the benchmark datasets and other datasets achieves an attractive performance when compared over other state-of-the-art IDSs.  2022 World Scientific Publishing Co.",2022,2022-06-10 02:09:41,2022-07-31 05:01:00,,,,,,,,,Journal of Information and Knowledge Management,,,,,,,,,,,,,Publisher: World Scientific,,,http://dx.doi.org/10.1142/S0219649222500423,Feature extraction; Internet of things; Decision making; Deep neural networks; Network security; Benchmarking; Optimization; Intrusion detection; Efficiency; Complex networks; Fish; Fog; Fog computing; Quality of service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
