,Name,Author's affiliation,venue name,Item Type,Publication Year,Subject category,Data type,task,Abstract Note,Author,Assignee,Relevant,DOI,Compared approaches,Dataset,Error type,Limitations and shortcomings,Model,"Performance (ML-wise e.g. accuracy, etc.)","Performance (engineering-wise e.g. time, memory, etc.)",Quality measurements,In SLR,Key,Personal comments,Q1,Q1.1,Q1.2,Q1.3,Q1.4,Q1.5,Q1.6,Q1.7,Q2,Q2.1,Q2.2,Replication package link,from
10,Correction to: Co-active neuro-fuzzy inference system model as single imputation approach for non-monotone pattern of missing data,Academia,Neural Computing and Applications,journalArticle,2022,ML4DC,tabular,imputation,"… that are used to measure the machine learning approaches precision. … on machine learning achieve in the data cleaning process. Moreover, it is considered that the machine learning-…","Silva-Ramirez, EL; Cabrera-Sánchez, JF",,YES,"https://doi.org/10.1007/s00521-020-05661-5(0123456789().,-volV","ANN baseline (MLP)
Mean/Mode
Regression
Hot-deck  e6ztd","18 datasets collected from UCI Repository: Abalone, Cleveland, Contraceptive, Credit, Flag, Heart, Glass, Image-segmentation, Pima, Sonar, Wine, Yeast, Breast, Car, Hayes-Roth, Lymphography, Soybean, Tic-Tac-Toe",missing data ,,CANFIS-ART based on Neural Networks and Fuzzy logic (Fuzzy-ART algorithm)," CANFIS-ART model has the highest GCI for all datasets with both qualitative and quantitative data, but for two of the datasets with only quantitative data, Hot-deck outperforms it and for one of the qualitative only dataset Mean/Mode outperform it.
CANFIS-ART model presents the best results of all the imputation methods with the greatest difference for almost all databases, standing out mainly in the block of databases with quantitative variables.",,"**to assess the goodness of fit between observed and predicted values: 
MSE Mean of Squared Error
RMSE Root Mean of Squared Error
MAPE Mean Absolute Percentage Error
ER Error rate
R2 Coefficient of determination
GCI Global Criteria Indicator

**to measure impact of imputation: accuracy of classifiers CART, SVM and MLP applied on the original database and the predicted data sets with estimated missing values using 10-fold cross-validation then Wilcoxon signed-rank test was performed for Original and CANFIS-ART as well as between CANFIS-ART and each of the compared approaches",,SDDXK8RH,correction paper! extracted information from the original,12,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2,0.0,2.0,,
11,Performance evaluation of outlier detection techniques in production timeseries: A systematic review and meta-analysis,Academia,Expert Syst. Appl.,journalArticle,2022,ML4DC,tabular,outliers detection,"Time-series data have been extensively collected and analyzed in many disciplines, such as stock market, medical diagnosis, meteorology, and oil and gas industry. Numerous data in these disciplines are sequence of observations measured as functions of time, which can be further used for different applications via analytical or data analytics techniques (e.g., to forecast future price, climate change, etc.). However, presence of outliers can cause significant uncertainties to interpretation results; hence, it is essential to remove the outliers accurately and efficiently before conducting any further analysis. A total of 17 techniques that belong to statistical, regression-based, and machine learning (ML) based categories for outlier detection in timeseries are applied to the oil and gas production data analysis. 15 of these methods are utilized for production data analysis for the first time. Two state-of-the-art and high-performance techniques are then selected for data cleaning which require minimum control and time complexity. Moreover, performances of these techniques are evaluated based on several metrics including the accuracy, precision, recall, F1 score, and Cohen's Kappa to rank the techniques. Results show that eight unsupervised algorithms outperform the rest of the methods based on the synthetic case study with known outliers. For example, accuracies of the eight shortlisted methods are in the range of 0.830.99 with a precision between 0.83 and 0.98, compared to 0.650.82 and 0.070.77 for the others. In addition, ML-based techniques perform better than statistical techniques. Our experimental results on real field data further indicate that the k-nearest neighbor (KNN) and Fulford-Blasingame methods are superior to other outlier detection frameworks for outlier detection in production data, followed by four others including density-based spatial clustering of applications with noise (DBSCAN), and angle-based outlier detection (ABOD). Even though the techniques are examined with oil and gas production data, but the same data cleaning workflow can be used to detect timeseries outliers in other disciplines.  2021","Alimohammadi, Hamzeh; Nancy Chen, Shengnan",,YES,10.1016/j.eswa.2021.116371,"ML-based:
angle-based (angle-based and fast-angle based)
Classification-based (Oneclass-SVM and Iforest0
Proximity based (Density-based spatial clustering of applications with noise, K-nearset
neighbor, Local outlier factor, Clustering-based local outlier factor, Connectivity-based
outlier factor)
Besides other statistical methods and regression-based","synthetic dataset (decline curve using traditional hyperbolic Arps model consisting 3000 days of production with a measurement frequency of 10 days) for evaluation
real oil and gas production data",outliers,"Proximity-based: (n^2) complexity level, Score sensitive to the choice of number of nearest neighbors (k), Results in low performance if data has widely variable density
Density-based: O(n^2) complexity level, Must choose two parameters (k for nearest neighbors and d for distance threshold)
Clustering-based: Requires thresholds for minimum size and distanc, Sensitive to the number of clusters chosen, Hard to associate outlier scores with objects, Outliers may affect the initial formation of clusters, Low performance in small datasets
Classififcation-based: Computationally heavy, especially when in very large datasets, Returns binary results and not the outlier score",NA (comparative study),"Synthetic dataset: The best 8 detectors out of 17 are point distribution ESD, sliding window polynomial fit, FulfordBlasingame, iForest, Fast-ABOD, DBSCAN, COF, and KNN where their  accuracies are in the range of 0.83–0.99 with a precision between 0.83 and 0.98, compared to 0.65–0.82 and 0.07–0.77 for the others
Real dataset: out of the 8 detectors above, the best two are KNN and Fulford-Blasingame while point distribution ESD and polynomial fit perform slightly lower than the rest. However, all 8 performed well with few false positives
*Fulford-Blasingame performs better than KNN only for single trends data 


","KNN outperforms all other techniques and is the top choice for outlier detection in production data based on all selection criteria (performance, computation time, difficulty of tuning hyperparameters). KNN’s overall performance stands after Fulford-Blasingame only for a single trend production data.","accuracy, precision, recall, F1 score, confusion matrix and Cohen’s Kappa to rank the techniques (for synthetic dataset)
visual inspection (for real dataset)
computation time
difficulty of tuning hyperparameters",,CF22C3TD,,14,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,0.0,2.0,,
12,cleanTS: Automated (AutoML) tool to clean univariate time series at microscales,,,journalArticle,2022,"DC4ML, DC4ML - intro only, ML4DC",tabular,error detection/repair,"Data cleaning is one of the most important tasks in data analysis processes. One of the perennial challenges in data analytics is the detection and handling of non-valid data. Failing to do so can result in creating imbalanced observations that can cause bias and influence estimates, and in extreme cases, can even lead to inaccurate analytics and unreliable decisions. Usually, the process of data cleaning is time-consuming due to its growing volume, velocity, and variety. Further, the complexity and difficulty of the cleaning process increase with the amount of data to be analyzed. It is rarely the case that any real-world data is clean and error-free. Thus, pre-processing the data before using it for analysis has become standard practice. This paper is intended to provide an easy-to-use and reliable system which automates the cleaning process for univariate time series data. Also, automating the process reduces the time required for cleaning it. Another issue that the proposed system aims to solve is making the visualization of a large amount of data more effective. To tackle these issues, an R package, cleanTS is proposed. The proposed system provides a way to analyze data on different scales and resolutions. Also, it provides users with tools and a benchmark system for comparing various techniques used in data cleaning.  2022 The Author(s)","Shende, Mayur Kishor; Feijoo-Lorenzo, Andres E.; Bokde, Neeraj Dhanraj",Dima,score too low,10.1016/j.neucom.2022.05.057,No,"A time series containing 1,21,273 observations taken
from Kaggle ( https://www.kaggle.com/robikscube/hourly-energyconsumption).Power Consumption Dataset, CO2 Emission Dataset, Temperature Dataset","replacing missing values, handling anomalies",,None described ,No,"Power Consumption Dataset 24.59 sec, CO2 Emission Dataset 226.67 msec, Temperature Dataset 15.10 sec.",Running time of cleanTS function.,YES,"Time series analysis, Time series cleaning, Data cleaning, AutoML, Machine learning","Seems like a good tool, but it doesn’t present any new approach.",8,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0,0.0,0.0,"https://mayur1009.shinyapps/.
io/cleanTS/.",
13,Deep entity matching with adversarial active learning,Both,VLDB Journal,journalArticle,2022,ML4DC,tabular,entity matching / duplicate removal,"Entity matching (EM), as a fundamental task in data cleansing and integration, aims to identify the data records in databases that refer to the same real-world entity. While recent deep learning technologies significantly improve the performance of EM, they are often restrained by large-scale noisy data and insufficient labeled examples. In this paper, we present a novel EM approach based on deep neural networks and adversarial active learning. Specifically, we design a deep EM model to automatically complete missing textual values and capture both similarity and difference between records. Given that learning massive parameters in the deep model needs expensive labeling cost, we propose an adversarial active learning framework, which leverages active learning to collect a small amount of ""good"" examples and adversarial learning to augment the examples for stability enhancement. Additionally, to deal with large-scale databases, we present a dynamic blocking method that can be interactively tuned with the deep EM model. Our experiments on benchmark datasets demonstrate the superior accuracy of our approach and validate the effectiveness of all the proposed modules.  2022, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.","Huang, Jiacheng; Hu, Wei; Bao, Zhifeng; Chen, Qijin; Qu, Yuzhong",PO,YES,10.1007/s00778-022-00745-1,(1) DeepMatcher (2) Seq2SeqMatcher (3) EMTranformer (4) DItto (5) CorDEL,(1) DBLPScholar (2) DBLP-ACM (3) Amazon-Google (4) Walmart-Amazon (5) Fodors-Zagats (6) iTunes-Amazon (7) Beer,duplicates,-,"a lot. transformers, cnns, etc.",Better or equal than others on every dataset,generally lower than other approaches,precision recall f1-score,,,It could also have been named: “how to make something relatively simple impossible to understand”,9,2.0,2.0,1.0,2.0,0.0,1.0,1.0,4,2.0,2.0,,
14,Data abnormal detection using bidirectional long-short neural network combined with artificial experience,,,journalArticle,2022,,,,"Data anomalies seriously threaten the reliability of the bridge structural health monitoring system and may trigger system misjudgment. To overcome the above problem, an efficient and accurate data anomaly detection method is desiderated. Traditional anomaly detection methods extract various abnormal features as the key indicators to identify data anomalies. Then set thresholds artificially for various features to identify specific anomalies, which is the artificial experience method. However, limited by the poor generalization ability among sensors, this method often leads to high labor costs. Another approach to anomaly detection is a data-driven approach based on machine learning methods. Among these, the bidirectional long-short memory neural network (BiLSTM), as an effective classification method, excels at finding complex relationships in multivariate time series data. However, training unprocessed original signals often leads to low computation efficiency and poor convergence, for lacking appropriate feature selection. Therefore, this article combines the advantages of the two methods by proposing a deep learning method with manual experience statistical features fed into it. Experimental comparative studies illustrate that the BiLSTM model with appropriate feature input has an accuracy rate of over 87-94%. Meanwhile, this paper provides basic principles of data cleaning and discusses the typical features of various anomalies. Furthermore, the optimization strategies of the feature space selection based on artificial experience are also highlighted. Copyright  2022 Techno-Press, Ltd.","Yang, Kang; Jiang, Huachen; Ding, Youliang; Wang, Manya; Wan, Chunfeng",PO,Not accessible,10.12989/sss.2022.29.1.117,,,,,,,,,,,,0,,,,,,,,0,,,,
15,Data Cleaning of Sound Data with Label Noise Using Self Organizing Map,,,conferencePaper,2022,,,,"The noise label of data is a problem that can cause low performance of deep learning. It is difficult to manually relabel due to huge amounts of data. In addition, there are much more problems due to the similarity of sounds that are difficult to manually distinguish and label sound data. We proposed a data cleaning method using SOM (Self-Organizing Map), one of the unsupervised learning methods. In order to extract compact features from audio, densely connected layer with log scaled Mel-spectrogram is used. Data selection is performed based on the Euclidean distance of each Best matching unit (BMU) derived through the SOM. We also experiment with various grid sizes for SOM to find an efficient grid size. In addition, an appropriate distance finding experiment is conducted. This method is evaluated in sound classification using a pre-trained DenseNet model.  2022 IEEE.","Hwang, Pildong; Kim, Yanggon",,exclusion criteria last step,10.1109/IMCOM53663.2022.9721724,,,,,,,,,,,,0,,,,,,,,0,,,,
16,Confident Learning-Based Domain Adaptation for Hyperspectral Image Classification,,,journalArticle,2022,"DC4ML, ML4DC",img,mislabel correction,"Cross-domain hyperspectral image classification is one of the major challenges in remote sensing, especially for target domain data without labels. Recently, deep learning approaches have demonstrated effectiveness in domain adaptation. However, most of them leverage unlabeled target data only from a statistical perspective but neglect the analysis at the instance level. For better statistical alignment, existing approaches employ the entire unevaluated target data in an unsupervised manner, which may introduce noise and limit the discriminability of the neural networks. In this article, we propose confident learning-based domain adaptation (CLDA) to address the problem from a new perspective of data manipulation. To this end, a novel framework is presented to combine domain adaptation with confident learning (CL), where the former reduces the interdomain discrepancy and generates pseudo-labels for the target instances, from which the latter selects high-confidence target samples. Specifically, the confident learning part evaluates the confidence of each pseudo-labeled target sample based on the assigned labels and the predicted probabilities. Then, high-confidence target samples are selected as training data to increase the discriminative capacity of the neural networks. In addition, the domain adaptation part and the confident learning part are trained alternately to progressively increase the proportion of high-confidence labels in the target domain, thus further improving the accuracy of classification. Experimental results on four datasets demonstrate that the proposed CLDA method outperforms the state-of-the-art domain adaptation approaches. Our source code is available at http://github.com/Li-ZK/CLDA-2022.  2022 IEEE.","Fang, Zhuoqun; Yang, Yuexin; Li, Zhaokui; Li, Wei; Chen, Yushi; Ma, Li; Du, Qian",PO,score too low,10.1109/TGRS.2022.3166817,,,,,,,,,,,,0,,,,,,,,0,0.0,0.0,,
17,Towards a Holistic Data Preparation Tool,,,conferencePaper,2022,"DC4ML, DC4ML - intro only",any,error detection/repair,"Data-driven systems and machine learning-based decisions are becoming increasingly important and are having an impact on our everyday lives. The prerequisite for this is good data quality, which must be ensured by preprocessing the data. However, a number of challenges arise in the process. These include the results of the process in terms of data quality, e.g., combating bias and ensuring fairness, and the preprocessing process itself. Here, human involvement and the lack of intelligent solutions and applications for domain experts without in-depth IT knowledge play a major role. This paper summarizes these challenges and provides an overview of the current state of the art. It proposes the design of a holistic tool, along with the necessary tasks to overcome these challenges and to support data preprocessing.  2022 Copyright for this paper by its authors.","Restat, Valerie; Klettke, Meike; Storl, Uta",PO,exclusion criteria last step,,,,,,,,,,,,,0,,,,,,,,0,,,,
18,Research on English Grammar Error Correction Technology Based on BLSTM Sequence Annotation,Academia,Asian Conference on Artificial Intelligence Technology,conferencePaper,2021,ML4DC,text,error detection/repair,"… of intelligent English grammatical error detection and correction technology. … neural network and feedforward neural network, tagging model based on multilayer neural network and …","Shi, Y",,score too low,10.1109/ACAIT53529.2021.9731256 ,"compared with tagging models:
(1) Senna tagging model based on convolutional neural network and feedforward neural network
(2) tagging model based on multilayer neural network

compared with error correction models:
(1) UIUC model (won the first place in the CoNLL evaluation in 2013)
(2) Corpus GEC model","corpus comes from 
(1) news corpus of WSJ Wall Street Journal 
(2) the named entity recognition corpus of CONLL 2013 
(3) PiGai corpus of correctional website",Grammatical ,"Although it performs better for correcting the fixed grammatical errors (e.g., article and preposition use errors), the performance degrades for the grammatical errors such as verbs and nouns ",BLSTM,"recall rate is 44.95%, F-measure index value is 38.26%, which is 4.85% higher than the UIUC model and 4.92% higher than the Corpus GEC model.
Precision is ~ 33% which is ~14% less than UIUC model and ~10% less than Corpus GEC model (approx. as only shown in fig.)",-,"Accuracy for comparing with tagging models
Precision, Recall and F-measure for comparing with error correction models",,XDLYWZCH,It achieves better accuracy and F-score because it has higher recall; however the precision is lower than UIUC and Corpus GEC. When compared with the tagging models only the accuracy is reported!,6,2.0,1.0,0.0,1.0,1.0,1.0,0.0,2,1.0,1.0,,
19,Detecting Adversarial Image Examples in Deep Neural Networks with Adaptive Noise Reduction,,,journalArticle,2021,ML4DC,img,error detection/repair,"Recently, many studies have demonstrated deep neural network (DNN) classifiers can be fooled by the adversarial example, which is crafted via introducing some perturbations into an original sample. Accordingly, some powerful defense techniques were proposed. However, existing defense techniques often require modifying the target model or depend on the prior knowledge of attacks. In this paper, we propose a straightforward method for detecting adversarial image examples, which can be directly deployed into unmodified off-the-shelf DNN models. We consider the perturbation to images as a kind of noise and introduce two classic image processing techniques, scalar quantization and smoothing spatial filter, to reduce its effect. The image entropy is employed as a metric to implement an adaptive noise reduction for different kinds of images. Consequently, the adversarial example can be effectively detected by comparing the classification results of a given sample and its denoised version, without referring to any prior knowledge of attacks. More than 20,000 adversarial examples against some state-of-the-art DNN models are used to evaluate the proposed method, which are crafted with different attack techniques. The experiments show that our detection method can achieve a high overall F1 score of 96.39 percent and certainly raises the bar for defense-aware attacks.  2020 IEEE.","Liang, Bin; Li, Hongcheng; Su, Miaoqiang; Li, Xirong; Shi, Wenchang; Wang, Xiaofeng",PO,score too low - 2,10.1109/TDSC.2018.2874243,,,,,,,,,,SZN9D7AK,,0,,,,,,,,0,0.0,0.0,,
20,Automatic Detection of Grammatical Errors in English Verbs Based on RNN Algorithm: Auxiliary Objectives for Neural Error Detection Models,Academia,Computational Intelligence and Neuroscience,journalArticle,2021,ML4DC,text,error detection/repair,"… On this basis, in order to propose a more reliable and accurate method, this study explores an automatic grammar error detection method based on recurrent neural network (RNN), and …","He, Y",,YES,https://doi.org/10.1155/2021/6052873,CUUI method,"conll-2014 
(selected only the sentences sentences with grammatical errors of verb form)",Grammatical,"Focus only on grammatical errors of English verbs 

",RNN,"precision 61.10%, recall rate 20.32, and F0.5 43.60. 
Compared to CUUI method, the accuracy and F0.5 are improved by 13.99% (absolute increase value =7.5) and 5.77% (absolute increase value =2.38), respectively, while recall slightly decreased (absolute decrease value ~ 1)",-,"Precision
Recall
F0.5 (assign higher weight to precision)

",,8LVSRULP,"The paper does not explain the compared approach but it seems based on Neural Networks.
The use of RNN allows to consider the sentence context which is important to detect and correct errors on verbs; thus, achieving better results than traditional NN.
Although the scope of errors is very limited (only verbs), the recall is low. ",12,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2,0.0,2.0,,
